JobID|Elapsed|Eligible|End|ReqMem|ReqCPUS|CPUTime|Submit|Start|MaxVMSize|State|User|NodeList|Partition|
5766979_22|11-18:04:58|2023-05-21T22:31:44|2023-06-02T16:36:42|1000Mc|1|11-18:04:58|2023-05-21T22:31:44|2023-05-21T22:31:44||COMPLETED|dipankar.roy|cn28|serial-long|
5766979_23|12-01:06:24|2023-05-21T22:31:44|2023-06-02T23:38:08|1000Mc|1|12-01:06:24|2023-05-21T22:31:44|2023-05-21T22:31:44||COMPLETED|dipankar.roy|cn28|serial-long|
5766979_24|11-08:09:55|2023-05-21T22:31:44|2023-06-02T06:41:39|1000Mc|1|11-08:09:55|2023-05-21T22:31:44|2023-05-21T22:31:44||COMPLETED|dipankar.roy|cn28|serial-long|
5766979_25|11-00:20:57|2023-05-21T22:31:44|2023-06-01T22:52:41|1000Mc|1|11-00:20:57|2023-05-21T22:31:44|2023-05-21T22:31:44||COMPLETED|dipankar.roy|cn28|serial-long|
5766979_26|11-17:22:44|2023-05-21T22:31:44|2023-06-02T15:54:28|1000Mc|1|11-17:22:44|2023-05-21T22:31:44|2023-05-21T22:31:44||COMPLETED|dipankar.roy|cn28|serial-long|
5766979_27|11-03:27:24|2023-05-21T22:31:44|2023-06-02T01:59:08|1000Mc|1|11-03:27:24|2023-05-21T22:31:44|2023-05-21T22:31:44||COMPLETED|dipankar.roy|cn28|serial-long|
5766979_28|12-01:08:36|2023-05-21T22:31:44|2023-06-02T23:40:20|1000Mc|1|12-01:08:36|2023-05-21T22:31:44|2023-05-21T22:31:44||COMPLETED|dipankar.roy|cn28|serial-long|
5766979_29|11-13:36:16|2023-05-21T22:31:44|2023-06-02T12:08:00|1000Mc|1|11-13:36:16|2023-05-21T22:31:44|2023-05-21T22:31:44||COMPLETED|dipankar.roy|cn28|serial-long|
5766979_30|11-09:53:38|2023-05-21T22:31:44|2023-06-02T08:25:22|1000Mc|1|11-09:53:38|2023-05-21T22:31:44|2023-05-21T22:31:44||COMPLETED|dipankar.roy|cn28|serial-long|
5766979_31|11-16:27:18|2023-05-21T22:31:44|2023-06-02T14:59:02|1000Mc|1|11-16:27:18|2023-05-21T22:31:44|2023-05-21T22:31:44||COMPLETED|dipankar.roy|cn24|serial-long|
5766979_32|11-21:15:32|2023-05-21T22:31:44|2023-06-02T19:47:16|1000Mc|1|11-21:15:32|2023-05-21T22:31:44|2023-05-21T22:31:44||COMPLETED|dipankar.roy|cn24|serial-long|
5766979_33|12-11:13:25|2023-05-21T22:31:44|2023-06-03T09:45:09|1000Mc|1|12-11:13:25|2023-05-21T22:31:44|2023-05-21T22:31:44||COMPLETED|dipankar.roy|cn24|serial-long|
5766979_34|11-12:37:45|2023-05-21T22:31:44|2023-06-02T11:09:29|1000Mc|1|11-12:37:45|2023-05-21T22:31:44|2023-05-21T22:31:44||COMPLETED|dipankar.roy|cn24|serial-long|
5766979_35|11-03:13:46|2023-05-21T22:31:44|2023-06-02T01:45:30|1000Mc|1|11-03:13:46|2023-05-21T22:31:44|2023-05-21T22:31:44||COMPLETED|dipankar.roy|cn24|serial-long|
5766979_36|11-04:30:17|2023-05-21T22:31:44|2023-06-02T03:02:01|1000Mc|1|11-04:30:17|2023-05-21T22:31:44|2023-05-21T22:31:44||COMPLETED|dipankar.roy|cn24|serial-long|
5766979_37|11-00:30:42|2023-05-21T22:31:44|2023-06-01T23:02:26|1000Mc|1|11-00:30:42|2023-05-21T22:31:44|2023-05-21T22:31:44||COMPLETED|dipankar.roy|cn24|serial-long|
5766979_38|10-19:30:17|2023-05-21T22:31:44|2023-06-01T18:02:01|1000Mc|1|10-19:30:17|2023-05-21T22:31:44|2023-05-21T22:31:44||COMPLETED|dipankar.roy|cn24|serial-long|
